"bot_lat","top_lat","left_long","right_long, height"
"21.0251150716518","21.0264582576641","105.7871271647118","105.78861206849881","45"
"21.02509604160262","21.026241033173","105.7923936800448","105.7935701898947","8"
"21.02500360366457","21.026184357045842","105.792570488492","105.7937782640037","10"
"21.02436929608277","21.02615054895523","105.7867102836602","105.7888027887095","67"
"21.02486876887473","21.0260966396123","105.7924489482383","105.7936218543025","7"
"21.02489548191954","21.02605956339942","105.7925753431774","105.79371488781081","15"
"21.0248480213527","21.02605114536292","105.7926171710822","105.7937812918919","16"
"21.0248594600553","21.02602497964024","105.7925325360352","105.7936960984986","14"
"21.024838449588287","21.02603514496682","105.7926807043814","105.7938339763489","12"
"21.02482578239657","21.025989938379112","105.79284272374029","105.7940005779649","11"
"21.02482664947767","21.02594954961841","105.7925226556921","105.79367645578981","12"
