"bot_lat","top_lat","left_long","right_long", "height"
"21.0253850716518","21.0261882576641","105.7873971647118","105.7883420684988","45"
"21.02536604160262","21.025971033173","105.7926636800448","105.7933001898947","8"
"21.02527360366457","21.025914357045842","105.792840488492","105.7935082640037","10"
"21.02463929608277","21.02588054895523","105.7869802836602","105.7885327887095","67"
"21.02513876887473","21.0258266396123","105.7927189482383","105.7933518543025","7"
"21.02516548191954","21.02578956339942","105.7928453431774","105.79344488781081","15"
"21.0251180213527","21.02578114536292","105.7928871710822","105.7935112918919","16"
"21.0251294600553","21.02575497964024","105.7928025360352","105.7934260984986","14"
"21.025108449588288","21.02576514496682","105.7929507043814","105.7935639763489","12"
"21.02509578239657","21.025719938379112","105.7931127237403","105.7937305779649","11"
"21.02509664947767","21.02567954961841","105.7927926556921","105.7934064557898","12"
